time,n_bulks,n_features,method
0.008398294448852539,1000,1,esda
0.010228633880615234,1000,1,sc
0.008381843566894531,1000,1,esda
0.010223150253295898,1000,1,sc
0.008772134780883789,1000,1,esda
0.010571002960205078,1000,1,sc
0.008455753326416016,1000,1,esda
0.010236501693725586,1000,1,sc
0.008375406265258789,1000,1,esda
0.010009765625,1000,1,sc
0.008527517318725586,1000,1,esda
0.010103702545166016,1000,1,sc
0.008386850357055664,1000,1,esda
0.010721683502197266,1000,1,sc
0.008751630783081055,1000,1,esda
0.010762691497802734,1000,10,sc
0.07700991630554199,1000,10,esda
0.01086282730102539,1000,10,sc
0.07840085029602051,1000,10,esda
0.010832548141479492,1000,10,sc
0.07655143737792969,1000,10,esda
0.010859966278076172,1000,10,sc
0.07692456245422363,1000,10,esda
0.010410785675048828,1000,10,sc
0.07715415954589844,1000,10,esda
0.010725975036621094,1000,10,sc
0.07804489135742188,1000,10,esda
0.010435819625854492,1000,10,sc
0.07740902900695801,1000,10,esda
0.010664224624633789,1000,10,sc
0.07716202735900879,1000,10,esda
0.014519453048706055,1000,100,sc
0.7626321315765381,1000,100,esda
0.014084577560424805,1000,100,sc
0.7623577117919922,1000,100,esda
0.01429295539855957,1000,100,sc
0.7656476497650146,1000,100,esda
0.014038324356079102,1000,100,sc
0.7678678035736084,1000,100,esda
0.014327287673950195,1000,100,sc
0.7668671607971191,1000,100,esda
0.013825178146362305,1000,100,sc
0.7664942741394043,1000,100,esda
0.013866186141967773,1000,100,sc
0.7656352519989014,1000,100,esda
0.013774394989013672,1000,100,sc
0.7689406871795654,1000,100,esda
0.029924631118774414,1000,500,sc
3.8259189128875732,1000,500,esda
0.02968287467956543,1000,500,sc
3.8096511363983154,1000,500,esda
0.02974390983581543,1000,500,sc
3.8482534885406494,1000,500,esda
0.02973651885986328,1000,500,sc
3.837749719619751,1000,500,esda
0.029684066772460938,1000,500,sc
3.8287670612335205,1000,500,esda
0.030076026916503906,1000,500,sc
3.819225788116455,1000,500,esda
0.031109333038330078,1000,500,sc
3.8192789554595947,1000,500,esda
