time,n_bulks,n_features,method
21.801318883895874,100,1000,esda
0.009431838989257812,100,1000,sc
21.878628492355347,100,1000,esda
0.010254859924316406,100,1000,sc
21.73603916168213,100,1000,esda
0.01381230354309082,100,2000,sc
43.6265172958374,100,2000,esda
0.01410222053527832,100,2000,sc
43.50753974914551,100,2000,esda
0.014003753662109375,100,2000,sc
43.485103368759155,100,2000,esda
0.014208316802978516,100,2000,sc
43.4009804725647,100,2000,esda
0.013811826705932617,100,2000,sc
43.43044924736023,100,2000,esda
0.014925479888916016,100,2000,sc
43.52779841423035,100,2000,esda
0.015220165252685547,100,2000,sc
43.478822469711304,100,2000,esda
0.01430368423461914,100,2000,sc
43.465901374816895,100,2000,esda
0.02496170997619629,100,5000,sc
109.10666489601135,100,5000,esda
0.023239850997924805,100,5000,sc
104.9496591091156,100,5000,esda
0.023435592651367188,100,5000,sc
104.86167907714844,100,5000,esda
0.02631354331970215,100,5000,sc
104.75735759735107,100,5000,esda
0.025250673294067383,100,5000,sc
104.67152833938599,100,5000,esda
0.02531743049621582,100,5000,sc
104.78655195236206,100,5000,esda
0.02377486228942871,100,5000,sc
104.77760362625122,100,5000,esda
0.023549795150756836,100,5000,sc
104.62793278694153,100,5000,esda
0.0448153018951416,100,10000,sc
209.97310519218445,100,10000,esda
0.0453493595123291,100,10000,sc
210.64948773384094,100,10000,esda
0.04454302787780762,100,10000,sc
211.10318279266357,100,10000,esda
0.04196810722351074,100,10000,sc
210.84703421592712,100,10000,esda
0.04280376434326172,100,10000,sc
211.83501648902893,100,10000,esda
0.04246187210083008,100,10000,sc
211.02877616882324,100,10000,esda
0.046796321868896484,100,10000,sc
214.32678532600403,100,10000,esda
0.04649615287780762,100,10000,sc
211.88662719726562,100,10000,esda
0.022236347198486328,500,1,sc
0.07224750518798828,500,1,esda
0.022098064422607422,500,1,sc
0.07619023323059082,500,1,esda
0.02219080924987793,500,1,sc
0.07650113105773926,500,1,esda
0.022125959396362305,500,1,sc
0.07615280151367188,500,1,esda
0.022065162658691406,500,1,sc
0.07654666900634766,500,1,esda
0.021874189376831055,500,1,sc
0.0763239860534668,500,1,esda
0.02222728729248047,500,1,sc
0.07622718811035156,500,1,esda
0.022090673446655273,500,1,sc
0.07631778717041016,500,1,esda
0.02228522300720215,500,10,sc
0.6490106582641602,500,10,esda
0.020859956741333008,500,10,sc
