time,n_bulks,n_features,method
0.22741079330444336,1000,5000,sc
62.159083127975464,1000,5000,esda
0.21000289916992188,1000,5000,sc
62.59878087043762,1000,5000,esda
0.2109980583190918,1000,5000,sc
62.6751549243927,1000,5000,esda
0.21142053604125977,1000,5000,sc
63.03519630432129,1000,5000,esda
0.21155166625976562,1000,5000,sc
63.01167559623718,1000,5000,esda
0.21042633056640625,1000,5000,sc
62.88071060180664,1000,5000,esda
0.21108388900756836,1000,5000,sc
63.330870151519775,1000,5000,esda
0.2114870548248291,1000,5000,sc
63.805272579193115,1000,5000,esda
0.44579195976257324,1000,10000,sc
126.48346304893494,1000,10000,esda
0.4481496810913086,1000,10000,sc
127.61389970779419,1000,10000,esda
0.4523615837097168,1000,10000,sc
126.63823461532593,1000,10000,esda
0.4617781639099121,1000,10000,sc
127.45304155349731,1000,10000,esda
0.46892237663269043,1000,10000,sc
126.24387192726135,1000,10000,esda
0.461895227432251,1000,10000,sc
125.74536061286926,1000,10000,esda
0.47573280334472656,1000,10000,sc
126.29636645317078,1000,10000,esda
0.4229254722595215,1000,10000,sc
126.60894060134888,1000,10000,esda
0.05282306671142578,2000,1,sc
0.05282783508300781,2000,1,esda
0.053195953369140625,2000,1,sc
0.053275346755981445,2000,1,esda
0.053395748138427734,2000,1,sc
0.05422782897949219,2000,1,esda
0.05439352989196777,2000,1,sc
0.05318474769592285,2000,1,esda
0.055840492248535156,2000,1,sc
0.053470611572265625,2000,1,esda
0.05346083641052246,2000,1,sc
0.053366899490356445,2000,1,esda
0.05533599853515625,2000,1,sc
0.05320024490356445,2000,1,esda
0.056955814361572266,2000,1,sc
0.057437896728515625,2000,1,esda
0.0560612678527832,2000,10,sc
0.5203619003295898,2000,10,esda
0.05603528022766113,2000,10,sc
0.5067470073699951,2000,10,esda
0.05415797233581543,2000,10,sc
0.5149686336517334,2000,10,esda
0.056147098541259766,2000,10,sc
0.515845537185669,2000,10,esda
0.05711627006530762,2000,10,sc
0.5129406452178955,2000,10,esda
0.05496382713317871,2000,10,sc
0.5128433704376221,2000,10,esda
0.05431079864501953,2000,10,sc
0.5108368396759033,2000,10,esda
0.053261756896972656,2000,10,sc
0.5056631565093994,2000,10,esda
0.0622866153717041,2000,100,sc
5.1834728717803955,2000,100,esda
0.06285786628723145,2000,100,sc
5.164776086807251,2000,100,esda
0.06317830085754395,2000,100,sc
5.129295825958252,2000,100,esda
0.06555628776550293,2000,100,sc
5.134262323379517,2000,100,esda
0.06564760208129883,2000,100,sc
5.349904775619507,2000,100,esda
0.060991764068603516,2000,100,sc
5.015472888946533,2000,100,esda
0.06020998954772949,2000,100,sc
5.018217325210571,2000,100,esda
0.06215500831604004,2000,100,sc
5.100243806838989,2000,100,esda
0.09248876571655273,2000,500,sc
25.165273904800415,2000,500,esda
0.09404110908508301,2000,500,sc
25.319159746170044,2000,500,esda
0.09261488914489746,2000,500,sc
25.703590869903564,2000,500,esda
0.0945901870727539,2000,500,sc
25.595491409301758,2000,500,esda
0.09684514999389648,2000,500,sc
25.72922968864441,2000,500,esda
0.09930634498596191,2000,500,sc
25.664496898651123,2000,500,esda
0.09831690788269043,2000,500,sc
25.66932201385498,2000,500,esda
0.10440468788146973,2000,500,sc
25.97440481185913,2000,500,esda
0.147169828414917,2000,1000,sc
51.22111177444458,2000,1000,esda
0.14945077896118164,2000,1000,sc
51.82778334617615,2000,1000,esda
0.14469528198242188,2000,1000,sc
50.513874530792236,2000,1000,esda
0.13828134536743164,2000,1000,sc
51.712472915649414,2000,1000,esda
0.14209413528442383,2000,1000,sc
51.21121311187744,2000,1000,esda
0.13758492469787598,2000,1000,sc
51.344576835632324,2000,1000,esda
0.14076805114746094,2000,1000,sc
51.093989849090576,2000,1000,esda
0.13535737991333008,2000,1000,sc
50.7559814453125,2000,1000,esda
0.22875308990478516,2000,2000,sc
102.9335629940033,2000,2000,esda
0.22308850288391113,2000,2000,sc
102.04055881500244,2000,2000,esda
0.2265918254852295,2000,2000,sc
100.17701816558838,2000,2000,esda
0.2280747890472412,2000,2000,sc
101.97504806518555,2000,2000,esda
0.23337054252624512,2000,2000,sc
103.35362195968628,2000,2000,esda
0.22781729698181152,2000,2000,sc
102.33304810523987,2000,2000,esda
0.2224891185760498,2000,2000,sc
99.5262541770935,2000,2000,esda
0.2177419662475586,2000,2000,sc
102.11056065559387,2000,2000,esda
0.513946533203125,2000,5000,sc
259.3221001625061,2000,5000,esda
0.5085902214050293,2000,5000,sc
258.28170013427734,2000,5000,esda
0.5123426914215088,2000,5000,sc
259.02135276794434,2000,5000,esda
0.5158681869506836,2000,5000,sc
257.99457573890686,2000,5000,esda
0.5190331935882568,2000,5000,sc
256.78316140174866,2000,5000,esda
0.5167748928070068,2000,5000,sc
258.6069333553314,2000,5000,esda
0.5255911350250244,2000,5000,sc
255.93161988258362,2000,5000,esda
0.527132511138916,2000,5000,sc
256.7450394630432,2000,5000,esda
0.979985237121582,2000,10000,sc
513.3106710910797,2000,10000,esda
0.9817793369293213,2000,10000,sc
498.0589818954468,2000,10000,esda
0.9636509418487549,2000,10000,sc
498.0100643634796,2000,10000,esda
0.9709165096282959,2000,10000,sc
510.50940585136414,2000,10000,esda
0.9900188446044922,2000,10000,sc
509.3060214519501,2000,10000,esda
0.9894263744354248,2000,10000,sc
512.8131442070007,2000,10000,esda
0.9909882545471191,2000,10000,sc
504.9596359729767,2000,10000,esda
1.0158717632293701,2000,10000,sc
497.08597564697266,2000,10000,esda
0.48834824562072754,5000,1,sc
0.5562222003936768,5000,1,esda
0.4893951416015625,5000,1,sc
0.5560746192932129,5000,1,esda
0.49334716796875,5000,1,sc
0.5571396350860596,5000,1,esda
0.48847246170043945,5000,1,sc
0.5572192668914795,5000,1,esda
0.4921610355377197,5000,1,sc
0.5569846630096436,5000,1,esda
0.5077705383300781,5000,1,sc
0.5466403961181641,5000,1,esda
0.4887847900390625,5000,1,sc
0.5190136432647705,5000,1,esda
0.4886796474456787,5000,1,sc
0.5692276954650879,5000,1,esda
0.48195981979370117,5000,10,sc
5.351276636123657,5000,10,esda
0.4934420585632324,5000,10,sc
4.716350078582764,5000,10,esda
0.4853203296661377,5000,10,sc
4.667639493942261,5000,10,esda
0.5153505802154541,5000,10,sc
4.715144157409668,5000,10,esda
0.5061452388763428,5000,10,sc
4.7330238819122314,5000,10,esda
0.5124144554138184,5000,10,sc
4.687096357345581,5000,10,esda
0.4814112186431885,5000,10,sc
4.459580659866333,5000,10,esda
0.4819798469543457,5000,10,sc
4.908430814743042,5000,10,esda
0.5291695594787598,5000,100,sc
48.857330083847046,5000,100,esda
0.5614306926727295,5000,100,sc
46.25708746910095,5000,100,esda
0.5454483032226562,5000,100,sc
45.73726677894592,5000,100,esda
0.522606372833252,5000,100,sc
50.220858573913574,5000,100,esda
0.5453312397003174,5000,100,sc
46.626569986343384,5000,100,esda
0.5483312606811523,5000,100,sc
46.98858022689819,5000,100,esda
0.5449702739715576,5000,100,sc
